  z    H2O         O3          CH4         NO2         OH         HCl
 23.1  3.0651E-06  4.6707E-06  1.0790E-06  1.6836E-09  4.7581E-13  6.4349E-10
 23.2  3.1067E-06  4.7364E-06  1.0713E-06  1.7087E-09  4.9414E-13  6.4729E-10
 23.3  3.1495E-06  4.8021E-06  1.0637E-06  1.7339E-09  5.1312E-13  6.5105E-10
 23.4  3.1933E-06  4.8678E-06  1.0561E-06  1.7594E-09  5.3277E-13  6.5477E-10
 23.5  3.2380E-06  4.9334E-06  1.0486E-06  1.7851E-09  5.5310E-13  6.5845E-10
 23.6  3.2835E-06  4.9989E-06  1.0410E-06  1.8111E-09  5.7413E-13  6.6209E-10
 23.7  3.3295E-06  5.0644E-06  1.0335E-06  1.8372E-09  5.9587E-13  6.6571E-10
 23.8  3.3758E-06  5.1297E-06  1.0260E-06  1.8636E-09  6.1834E-13  6.6928E-10
 23.9  3.4224E-06  5.1949E-06  1.0186E-06  1.8902E-09  6.4154E-13  6.7283E-10
 24.0  3.4690E-06  5.2600E-06  1.0111E-06  1.9171E-09  6.6551E-13  6.7634E-10
 24.1  3.5155E-06  5.3249E-06  1.0038E-06  1.9442E-09  6.9024E-13  6.7982E-10
 24.2  3.5616E-06  5.3897E-06  9.9645E-07  1.9716E-09  7.1576E-13  6.8328E-10
 24.3  3.6073E-06  5.4543E-06  9.8917E-07  1.9992E-09  7.4208E-13  6.8670E-10
 24.4  3.6524E-06  5.5187E-06  9.8195E-07  2.0271E-09  7.6922E-13  6.9010E-10
 24.5  3.6967E-06  5.5828E-06  9.7479E-07  2.0552E-09  7.9719E-13  6.9348E-10
 24.6  3.7400E-06  5.6468E-06  9.6769E-07  2.0836E-09  8.2600E-13  6.9683E-10
 24.7  3.7821E-06  5.7105E-06  9.6066E-07  2.1123E-09  8.5567E-13  7.0015E-10
 24.8  3.8229E-06  5.7739E-06  9.5370E-07  2.1413E-09  8.8622E-13  7.0346E-10
 24.9  3.8623E-06  5.8371E-06  9.4681E-07  2.1705E-09  9.1766E-13  7.0674E-10
 25.0  3.9000E-06  5.9000E-06  9.4000E-07  2.2000E-09  9.5000E-13  7.1000E-10
 25.1  3.9359E-06  5.9626E-06  9.3327E-07  2.2298E-09  9.8328E-13  7.1324E-10
 25.2  3.9701E-06  6.0249E-06  9.2662E-07  2.2599E-09  1.0176E-12  7.1647E-10
 25.3  4.0025E-06  6.0868E-06  9.2005E-07  2.2903E-09  1.0531E-12  7.1968E-10
 25.4  4.0332E-06  6.1484E-06  9.1356E-07  2.3210E-09  1.0898E-12  7.2289E-10
 25.5  4.0624E-06  6.2096E-06  9.0714E-07  2.3520E-09  1.1280E-12  7.2608E-10
